arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,119072,6178.550000,0.051889,0.115921,1,0,61104,1345,1294,40
1,29338,1303.450000,0.044429,0.115918,0,0,12976,117,3476,121
2,19741,895.950000,0.045385,0.127006,2,0,8701,481,1835,112
3,4027,198.100000,0.049193,0.196491,0,0,1868,226,42,28
4,626,25.000000,0.039936,0.309791,0,0,219,62,103,13
5,6550,275.700000,0.042092,0.127535,2,0,1746,1986,1022,0
