arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,97904,3610.350000,0.036876,0.078276,0,0,36072,63,26129,25
1,376591,15220.550000,0.040417,0.078277,1,0,151666,1061,72409,51
2,128015,4836.100000,0.037778,0.078277,1,0,48165,374,31549,55
3,4942,192.450000,0.038942,0.155681,1,0,1908,15,1102,35
4,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,9
5,10,0.000000,0.000000,1000000000.000000,0,0,0,0,0,1
