arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,47227,2535.200000,0.053681,0.112457,0,0,25244,216,4583,28
1,36607,1670.150000,0.045624,0.112455,1,0,16578,229,4336,46
2,24308,1065.700000,0.043842,0.112457,1,0,10615,66,4046,58
3,91015,4533.050000,0.049806,0.112459,0,0,44881,899,4201,54
4,39405,1767.100000,0.044845,0.112458,0,0,17447,448,4258,30
5,1371,68.200000,0.049745,0.282965,1,0,667,12,15,7
