arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,22432,1087.800000,0.048493,0.136454,0,0,10800,156,650,57
1,21510,1062.200000,0.049382,0.136457,0,0,10100,1044,239,128
2,19966,987.600000,0.049464,0.136541,2,0,9215,1286,223,73
3,11786,587.450000,0.049843,0.151451,3,0,5470,755,64,34
4,27,0.000000,0.000000,1000000000.000000,0,0,0,0,0,2
5,27,0.000000,0.000000,1000000000.000000,0,0,0,0,0,4
