arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,678894,29098.950000,0.042862,0.082552,1,0,288458,5045,98514,60
1,600052,25573.000000,0.042618,0.082552,2,0,253716,3992,89256,104
2,89030,4096.250000,0.046010,0.106225,2,0,39531,2827,7116,143
3,7162,309.450000,0.043207,0.154200,1,0,2940,291,965,45
4,25,0.000000,0.000000,1000000000.000000,0,0,0,0,0,5
5,39,1.500000,0.038462,2.377522,1,0,6,0,0,0
