arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,8,0.000000,0.000000,1000000000.000000,0,0,0,0,0,24
1,2,0.000000,0.000000,1000000000.000000,0,0,0,0,0,33
2,0,0.000000,0.000000,1000000000.000000,0,0,0,0,0,9
3,0,0.000000,0.000000,1000000000.000000,0,0,0,0,0,13
4,0,0.000000,0.000000,1000000000.000000,0,0,0,0,0,7
5,0,0.000000,0.000000,1000000000.000000,0,0,0,0,0,0
