arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,274320,13452.300000,0.049039,0.103536,2,0,130142,8726,9698,57
1,157551,7508.800000,0.047659,0.105365,3,0,72398,5326,7404,89
2,78611,3614.600000,0.045981,0.105369,0,0,34281,3730,6294,87
3,25,0.000000,0.000000,1000000000.000000,0,0,0,0,0,28
4,25,0.000000,0.000000,1000000000.000000,0,0,0,0,0,7
5,26,0.000000,0.000000,1000000000.000000,0,0,0,0,0,0
