arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,477602,21643.550000,0.045317,0.090111,1,0,215272,2309,52099,54
1,139879,6023.050000,0.043059,0.090111,0,0,59773,915,22536,109
2,223369,9699.500000,0.043424,0.090111,0,0,96777,436,30742,147
3,12523,541.700000,0.043256,0.135694,0,0,5310,214,1666,96
4,295,14.500000,0.049153,0.536085,1,0,132,8,0,27
5,291,13.350000,0.045876,0.530110,0,0,128,11,0,13
