arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,650,47.600000,0.073231,0.270331,1,0,438,58,10,20
1,683,42.650000,0.062445,0.268710,0,0,398,57,28,30
2,605,29.750000,0.049174,0.268372,0,0,288,19,103,19
3,692,33.150000,0.047905,0.268699,0,0,315,33,81,19
4,528,20.350000,0.038542,0.268678,0,0,188,31,134,10
5,682,30.850000,0.045235,0.268553,0,0,265,87,64,1
