arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,363210,13770.250000,0.037913,0.068099,0,0,128176,19053,92721,9
1,564238,21799.600000,0.038635,0.068100,0,0,199010,37972,129790,33
2,537324,20613.000000,0.038362,0.068100,1,0,190219,31804,126128,34
3,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,11
4,8,0.000000,0.000000,1000000000.000000,0,0,0,0,0,22
5,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,3
