time_ms,ub,lb,gap
5,,56,
5,80,56,0.3
6,80,56,0.3
6,80,56,0.3
7,80,56,0.3
8,80,56,0.3
8,80,56,0.3
9,80,56,0.3
9,80,56,0.3
10,80,56,0.3
10,80,56,0.3
11,80,56,0.3
11,80,56,0.3
12,80,56,0.3
12,80,56,0.3
13,80,56,0.3
14,80,56,0.3
14,80,56,0.3
15,80,56,0.3
15,80,56,0.3
16,80,56,0.3
16,80,56,0.3
17,80,56,0.3
18,80,56,0.3
18,80,56,0.3
19,80,56,0.3
19,80,56,0.3
20,80,56,0.3
21,80,56,0.3
21,80,56,0.3
22,80,56,0.3
23,80,56,0.3
23,80,56,0.3
24,80,56,0.3
25,80,56,0.3
26,80,56,0.3
26,80,56,0.3
27,80,56,0.3
28,80,56,0.3
28,80,56,0.3
29,80,56,0.3
30,80,56,0.3
31,80,56,0.3
31,80,56,0.3
32,80,56,0.3
33,80,56,0.3
34,80,56,0.3
34,80,56,0.3
35,80,56,0.3
36,80,56,0.3
37,80,56,0.3
37,80,56,0.3
38,69,56,0.188406
38,69,56,0.188406
38,69,56,0.188406
39,69,56,0.188406
40,69,56,0.188406
41,69,56,0.188406
43,69,56,0.188406
44,69,56,0.188406
45,69,56,0.188406
46,69,56,0.188406
47,69,56,0.188406
48,69,56,0.188406
49,69,56,0.188406
50,69,56,0.188406
52,69,56,0.188406
53,69,56,0.188406
54,69,56,0.188406
55,69,56,0.188406
56,69,56,0.188406
56,69,56,0.188406
57,69,56,0.188406
58,69,56,0.188406
59,69,56,0.188406
60,69,56,0.188406
61,69,56,0.188406
62,69,56,0.188406
63,69,56,0.188406
64,69,56,0.188406
66,69,56,0.188406
67,69,56,0.188406
68,69,56,0.188406
69,69,56,0.188406
70,69,56,0.188406
72,69,56,0.188406
73,69,56,0.188406
74,69,56,0.188406
75,69,56,0.188406
77,69,56,0.188406
78,69,56,0.188406
80,69,56,0.188406
81,69,56,0.188406
82,69,56,0.188406
83,69,56,0.188406
85,69,56,0.188406
86,69,56,0.188406
87,69,56,0.188406
89,69,56,0.188406
90,69,56,0.188406
92,69,56,0.188406
