arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,32786,1611.750000,0.049160,0.126698,0,0,15749,737,1092,26
1,41771,2195.900000,0.052570,0.126741,4,0,21236,1374,253,53
2,12345,531.100000,0.043021,0.126694,0,0,5251,120,1957,80
3,22,0.000000,0.000000,1000000000.000000,0,0,0,0,0,13
4,22,0.000000,0.000000,1000000000.000000,0,0,0,0,0,6
5,23,0.000000,0.000000,1000000000.000000,0,0,0,0,0,0
