arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,446239,17812.600000,0.039917,0.057735,0,0,85314,185624,90236,10
1,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,13
2,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,10
3,8,0.000000,0.000000,1000000000.000000,0,0,0,0,0,20
4,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,9
5,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,0
