arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,59793,4550.400000,0.076103,0.106576,0,0,41294,8420,3693,25
1,95886,5312.250000,0.055402,0.106576,0,0,48898,8449,3975,56
2,63174,3789.400000,0.059984,0.106576,3,0,33940,7854,3641,81
3,43146,1876.000000,0.043480,0.106575,0,0,18432,656,5831,44
4,3276,153.350000,0.046810,0.201302,0,0,1460,147,197,12
5,16612,782.550000,0.047108,0.106575,1,0,6074,3485,2972,6
