time_ms,ub,lb,gap
5,57,53,0.0701754
5,57,53,0.0701754
5,57,53,0.0701754
6,57,53,0.0701754
7,57,53,0.0701754
7,57,53,0.0701754
7,57,53,0.0701754
8,57,53,0.0701754
8,57,53,0.0701754
9,57,53,0.0701754
9,57,53,0.0701754
10,57,53,0.0701754
10,57,53,0.0701754
10,57,53,0.0701754
11,57,53,0.0701754
11,57,53,0.0701754
12,57,53,0.0701754
12,57,53,0.0701754
13,57,53,0.0701754
13,57,53,0.0701754
13,57,53,0.0701754
14,57,53,0.0701754
14,57,53,0.0701754
15,57,53,0.0701754
15,57,53,0.0701754
16,57,53,0.0701754
16,57,53,0.0701754
17,57,53,0.0701754
17,57,53,0.0701754
18,57,53,0.0701754
18,57,53,0.0701754
18,57,53,0.0701754
19,57,53,0.0701754
19,57,53,0.0701754
20,57,53,0.0701754
20,57,53,0.0701754
21,57,53,0.0701754
21,57,53,0.0701754
21,57,53,0.0701754
22,57,53,0.0701754
22,57,53,0.0701754
23,57,53,0.0701754
23,57,53,0.0701754
24,57,53,0.0701754
24,57,53,0.0701754
24,57,53,0.0701754
25,57,53,0.0701754
25,57,53,0.0701754
26,57,53,0.0701754
26,57,53,0.0701754
27,57,53,0.0701754
27,57,53,0.0701754
27,57,53,0.0701754
28,57,53,0.0701754
28,57,53,0.0701754
29,57,53,0.0701754
29,57,53,0.0701754
30,57,53,0.0701754
30,57,53,0.0701754
30,57,53,0.0701754
31,57,53,0.0701754
31,57,53,0.0701754
32,57,53,0.0701754
32,57,53,0.0701754
33,57,53,0.0701754
33,57,53,0.0701754
34,57,53,0.0701754
34,57,53,0.0701754
34,57,53,0.0701754
35,57,53,0.0701754
35,57,53,0.0701754
36,57,53,0.0701754
36,57,53,0.0701754
37,57,53,0.0701754
37,57,53,0.0701754
37,57,53,0.0701754
38,57,53,0.0701754
38,57,53,0.0701754
38,57,53,0.0701754
39,57,53,0.0701754
39,57,53,0.0701754
40,57,53,0.0701754
40,57,53,0.0701754
40,57,53,0.0701754
41,57,53,0.0701754
41,57,53,0.0701754
42,57,53,0.0701754
42,57,53,0.0701754
42,57,53,0.0701754
43,57,53,0.0701754
43,57,53,0.0701754
44,57,53,0.0701754
44,57,53,0.0701754
44,57,53,0.0701754
45,57,53,0.0701754
45,57,53,0.0701754
46,57,53,0.0701754
46,57,53,0.0701754
47,57,53,0.0701754
47,57,53,0.0701754
48,57,53,0.0701754
48,57,53,0.0701754
49,57,53,0.0701754
49,57,53,0.0701754
50,57,53,0.0701754
50,57,53,0.0701754
50,57,53,0.0701754
51,57,53,0.0701754
51,57,53,0.0701754
52,57,53,0.0701754
52,57,53,0.0701754
53,57,53,0.0701754
53,57,53,0.0701754
54,57,53,0.0701754
54,57,53,0.0701754
55,57,53,0.0701754
55,57,53,0.0701754
56,57,53,0.0701754
56,57,53,0.0701754
57,57,53,0.0701754
57,57,53,0.0701754
58,57,53,0.0701754
58,57,53,0.0701754
59,57,53,0.0701754
59,57,53,0.0701754
59,57,53,0.0701754
60,57,53,0.0701754
60,57,53,0.0701754
61,57,53,0.0701754
61,57,53,0.0701754
62,57,53,0.0701754
62,57,53,0.0701754
63,57,53,0.0701754
64,57,53,0.0701754
64,57,53,0.0701754
65,57,53,0.0701754
65,57,53,0.0701754
66,57,53,0.0701754
66,57,53,0.0701754
67,57,53,0.0701754
68,57,53,0.0701754
68,57,53,0.0701754
69,57,53,0.0701754
69,57,53,0.0701754
70,57,53,0.0701754
71,57,53,0.0701754
71,57,53,0.0701754
72,57,53,0.0701754
72,56,53,0.0535714
73,56,53,0.0535714
73,56,53,0.0535714
73,56,53,0.0535714
74,56,53,0.0535714
74,56,53,0.0535714
74,56,53,0.0535714
74,56,53,0.0535714
74,56,53,0.0535714
75,56,53,0.0535714
75,56,53,0.0535714
76,56,53,0.0535714
76,56,53,0.0535714
77,56,53,0.0535714
77,56,53,0.0535714
78,56,53,0.0535714
78,56,53,0.0535714
79,56,53,0.0535714
79,56,53,0.0535714
80,56,53,0.0535714
81,56,53,0.0535714
81,56,53,0.0535714
82,56,53,0.0535714
82,56,53,0.0535714
83,56,53,0.0535714
84,56,53,0.0535714
84,56,53,0.0535714
85,56,53,0.0535714
85,56,53,0.0535714
86,56,53,0.0535714
86,56,53,0.0535714
87,56,53,0.0535714
88,56,53,0.0535714
88,56,53,0.0535714
89,56,53,0.0535714
89,56,53,0.0535714
90,56,53,0.0535714
90,56,53,0.0535714
91,56,53,0.0535714
92,56,53,0.0535714
92,56,53,0.0535714
93,56,53,0.0535714
93,56,53,0.0535714
94,56,53,0.0535714
95,56,53,0.0535714
95,56,53,0.0535714
96,56,53,0.0535714
96,56,53,0.0535714
97,56,53,0.0535714
98,56,53,0.0535714
98,56,53,0.0535714
99,56,53,0.0535714
99,56,53,0.0535714
99,56,53,0.0535714
100,56,53,0.0535714
100,56,53,0.0535714
101,56,53,0.0535714
102,56,53,0.0535714
102,56,53,0.0535714
103,56,53,0.0535714
103,56,53,0.0535714
104,56,53,0.0535714
104,56,53,0.0535714
105,56,53,0.0535714
106,56,53,0.0535714
106,56,53,0.0535714
107,56,53,0.0535714
107,56,53,0.0535714
108,56,53,0.0535714
109,56,53,0.0535714
109,56,53,0.0535714
110,56,53,0.0535714
110,56,53,0.0535714
111,56,53,0.0535714
112,56,53,0.0535714
112,56,53,0.0535714
113,56,53,0.0535714
114,56,53,0.0535714
114,56,53,0.0535714
115,56,53,0.0535714
115,56,53,0.0535714
116,56,53,0.0535714
117,56,53,0.0535714
117,56,53,0.0535714
118,56,53,0.0535714
118,56,53,0.0535714
119,56,53,0.0535714
120,56,53,0.0535714
120,56,53,0.0535714
121,56,53,0.0535714
121,56,53,0.0535714
122,56,53,0.0535714
123,56,53,0.0535714
123,56,53,0.0535714
124,56,53,0.0535714
124,56,53,0.0535714
125,56,53,0.0535714
126,56,53,0.0535714
126,56,53,0.0535714
127,56,53,0.0535714
128,56,53,0.0535714
128,56,53,0.0535714
129,56,53,0.0535714
130,56,53,0.0535714
131,56,53,0.0535714
131,56,53,0.0535714
132,56,53,0.0535714
133,56,53,0.0535714
134,56,53,0.0535714
134,56,53,0.0535714
135,56,53,0.0535714
136,56,53,0.0535714
137,56,53,0.0535714
138,56,53,0.0535714
139,56,53,0.0535714
139,56,53,0.0535714
140,56,53,0.0535714
141,56,53,0.0535714
142,56,53,0.0535714
143,56,53,0.0535714
144,56,53,0.0535714
145,55,53,0.0363636
145,55,53,0.0363636
146,55,53,0.0363636
146,55,53,0.0363636
147,55,53,0.0363636
147,55,53,0.0363636
147,55,53,0.0363636
147,55,53,0.0363636
148,55,53,0.0363636
148,55,53,0.0363636
148,55,53,0.0363636
149,55,53,0.0363636
149,55,53,0.0363636
149,55,53,0.0363636
149,55,53,0.0363636
149,55,53,0.0363636
150,55,53,0.0363636
150,55,53,0.0363636
151,55,53,0.0363636
151,55,53,0.0363636
151,55,53,0.0363636
152,55,53,0.0363636
152,55,53,0.0363636
153,55,53,0.0363636
153,55,53,0.0363636
154,55,53,0.0363636
154,55,53,0.0363636
155,55,53,0.0363636
155,55,53,0.0363636
155,55,53,0.0363636
156,55,53,0.0363636
156,55,53,0.0363636
157,55,53,0.0363636
157,55,53,0.0363636
158,55,53,0.0363636
158,55,53,0.0363636
159,55,53,0.0363636
159,55,53,0.0363636
160,55,53,0.0363636
160,55,53,0.0363636
161,55,53,0.0363636
162,55,53,0.0363636
162,55,53,0.0363636
163,55,53,0.0363636
163,55,53,0.0363636
164,55,53,0.0363636
165,54,53,0.0185185
165,54,53,0.0185185
165,54,53,0.0185185
165,54,53,0.0185185
165,54,53,0.0185185
165,54,53,0.0185185
165,54,53,0.0185185
166,54,53,0.0185185
166,54,53,0.0185185
167,54,53,0.0185185
167,54,53,0.0185185
167,54,53,0.0185185
168,54,53,0.0185185
168,54,53,0.0185185
168,54,53,0.0185185
169,54,53,0.0185185
169,54,53,0.0185185
170,54,53,0.0185185
170,54,53,0.0185185
170,54,53,0.0185185
171,54,53,0.0185185
171,54,53,0.0185185
171,54,53,0.0185185
172,54,53,0.0185185
172,54,53,0.0185185
172,54,53,0.0185185
173,54,53,0.0185185
173,54,53,0.0185185
174,54,53,0.0185185
174,54,53,0.0185185
174,54,53,0.0185185
175,54,53,0.0185185
175,54,53,0.0185185
175,54,53,0.0185185
176,54,53,0.0185185
176,54,53,0.0185185
177,54,53,0.0185185
177,54,53,0.0185185
177,54,53,0.0185185
178,54,53,0.0185185
178,54,53,0.0185185
178,54,53,0.0185185
179,54,53,0.0185185
179,54,53,0.0185185
180,54,53,0.0185185
180,54,53,0.0185185
181,54,53,0.0185185
181,54,53,0.0185185
182,54,53,0.0185185
182,54,53,0.0185185
183,54,53,0.0185185
183,54,53,0.0185185
184,54,53,0.0185185
184,54,53,0.0185185
185,54,53,0.0185185
185,54,53,0.0185185
186,54,53,0.0185185
186,54,53,0.0185185
187,54,53,0.0185185
187,54,53,0.0185185
188,54,53,0.0185185
188,54,53,0.0185185
189,54,53,0.0185185
189,54,53,0.0185185
190,54,53,0.0185185
190,54,53,0.0185185
191,54,53,0.0185185
191,54,53,0.0185185
192,54,53,0.0185185
192,54,53,0.0185185
193,54,53,0.0185185
193,54,53,0.0185185
194,54,53,0.0185185
194,54,53,0.0185185
195,54,53,0.0185185
195,54,53,0.0185185
196,54,53,0.0185185
196,54,53,0.0185185
197,54,53,0.0185185
198,54,53,0.0185185
198,54,53,0.0185185
199,54,53,0.0185185
199,54,53,0.0185185
200,54,53,0.0185185
200,54,53,0.0185185
201,54,53,0.0185185
201,54,53,0.0185185
202,54,53,0.0185185
202,54,53,0.0185185
203,54,53,0.0185185
204,54,53,0.0185185
204,54,53,0.0185185
205,54,53,0.0185185
205,54,53,0.0185185
206,54,53,0.0185185
206,54,53,0.0185185
207,54,53,0.0185185
207,54,53,0.0185185
207,54,53,0.0185185
208,54,53,0.0185185
208,54,53,0.0185185
209,54,53,0.0185185
209,54,53,0.0185185
210,54,53,0.0185185
210,54,53,0.0185185
211,54,53,0.0185185
211,54,53,0.0185185
212,54,53,0.0185185
212,54,53,0.0185185
213,54,53,0.0185185
214,54,53,0.0185185
214,54,53,0.0185185
215,54,53,0.0185185
215,54,53,0.0185185
216,54,53,0.0185185
217,54,53,0.0185185
217,54,53,0.0185185
218,54,53,0.0185185
218,54,53,0.0185185
219,54,53,0.0185185
220,54,53,0.0185185
220,54,53,0.0185185
221,54,53,0.0185185
222,54,53,0.0185185
222,54,53,0.0185185
223,54,53,0.0185185
223,54,53,0.0185185
224,54,53,0.0185185
224,54,53,0.0185185
225,54,53,0.0185185
226,54,53,0.0185185
226,54,53,0.0185185
227,54,53,0.0185185
227,54,53,0.0185185
228,54,53,0.0185185
229,54,53,0.0185185
229,54,53,0.0185185
230,54,53,0.0185185
230,54,53,0.0185185
231,54,53,0.0185185
231,54,53,0.0185185
232,54,53,0.0185185
233,54,53,0.0185185
233,54,53,0.0185185
234,54,53,0.0185185
235,54,53,0.0185185
235,54,53,0.0185185
236,54,53,0.0185185
236,54,53,0.0185185
237,54,53,0.0185185
237,54,53,0.0185185
238,54,53,0.0185185
239,54,53,0.0185185
239,54,53,0.0185185
240,54,53,0.0185185
240,54,53,0.0185185
241,54,53,0.0185185
241,54,53,0.0185185
242,54,53,0.0185185
243,54,53,0.0185185
243,54,53,0.0185185
244,54,53,0.0185185
244,54,53,0.0185185
245,54,53,0.0185185
246,54,53,0.0185185
246,54,53,0.0185185
247,54,53,0.0185185
247,54,53,0.0185185
248,54,53,0.0185185
248,54,53,0.0185185
249,54,53,0.0185185
249,54,53,0.0185185
250,54,53,0.0185185
251,54,53,0.0185185
251,54,53,0.0185185
252,54,53,0.0185185
253,54,53,0.0185185
253,54,53,0.0185185
254,54,53,0.0185185
254,54,53,0.0185185
255,54,53,0.0185185
255,54,53,0.0185185
255,54,53,0.0185185
256,54,53,0.0185185
257,54,53,0.0185185
257,54,53,0.0185185
258,54,53,0.0185185
259,54,53,0.0185185
259,54,53,0.0185185
260,54,53,0.0185185
261,54,53,0.0185185
261,54,53,0.0185185
261,54,53,0.0185185
262,54,53,0.0185185
262,54,53,0.0185185
262,54,53,0.0185185
263,54,53,0.0185185
263,54,53,0.0185185
264,54,53,0.0185185
265,54,53,0.0185185
265,54,53,0.0185185
266,54,53,0.0185185
267,54,53,0.0185185
267,54,53,0.0185185
268,54,53,0.0185185
269,54,53,0.0185185
269,54,53,0.0185185
270,54,53,0.0185185
271,54,53,0.0185185
272,54,53,0.0185185
273,54,53,0.0185185
273,54,53,0.0185185
274,54,53,0.0185185
275,54,53,0.0185185
276,54,53,0.0185185
277,54,53,0.0185185
277,54,53,0.0185185
278,54,53,0.0185185
279,54,53,0.0185185
280,54,53,0.0185185
280,54,53,0.0185185
281,54,53,0.0185185
282,54,53,0.0185185
283,54,53,0.0185185
284,54,53,0.0185185
285,54,53,0.0185185
286,54,53,0.0185185
286,54,53,0.0185185
287,54,53,0.0185185
288,54,53,0.0185185
289,54,53,0.0185185
290,54,53,0.0185185
290,54,53,0.0185185
291,54,53,0.0185185
292,54,53,0.0185185
293,54,53,0.0185185
293,54,53,0.0185185
294,54,53,0.0185185
295,54,53,0.0185185
295,54,53,0.0185185
296,54,53,0.0185185
297,54,53,0.0185185
298,54,53,0.0185185
299,54,53,0.0185185
299,54,53,0.0185185
300,54,53,0.0185185
300,54,53,0.0185185
301,54,53,0.0185185
302,54,53,0.0185185
303,54,53,0.0185185
304,54,53,0.0185185
305,54,53,0.0185185
305,54,53,0.0185185
306,54,53,0.0185185
307,54,53,0.0185185
307,54,53,0.0185185
308,54,53,0.0185185
309,54,53,0.0185185
309,54,53,0.0185185
310,54,53,0.0185185
311,54,53,0.0185185
311,54,53,0.0185185
312,54,53,0.0185185
313,54,53,0.0185185
314,54,53,0.0185185
314,54,53,0.0185185
315,54,53,0.0185185
316,54,53,0.0185185
317,54,53,0.0185185
317,54,53,0.0185185
318,54,53,0.0185185
319,54,53,0.0185185
320,54,53,0.0185185
321,54,53,0.0185185
322,54,53,0.0185185
322,54,53,0.0185185
323,54,53,0.0185185
324,54,53,0.0185185
324,54,53,0.0185185
325,54,53,0.0185185
326,54,53,0.0185185
327,54,53,0.0185185
327,54,53,0.0185185
328,54,53,0.0185185
329,54,53,0.0185185
330,54,53,0.0185185
330,54,53,0.0185185
331,54,53,0.0185185
332,54,53,0.0185185
332,54,53,0.0185185
333,54,53,0.0185185
334,54,53,0.0185185
335,54,53,0.0185185
336,54,53,0.0185185
336,54,53,0.0185185
337,54,53,0.0185185
338,54,53,0.0185185
339,54,53,0.0185185
339,54,53,0.0185185
340,54,53,0.0185185
341,54,53,0.0185185
341,54,53,0.0185185
342,54,53,0.0185185
343,54,53,0.0185185
344,54,53,0.0185185
344,54,53,0.0185185
345,54,53,0.0185185
346,54,53,0.0185185
346,54,53,0.0185185
347,54,53,0.0185185
348,54,53,0.0185185
348,54,53,0.0185185
349,54,53,0.0185185
350,54,53,0.0185185
351,54,53,0.0185185
351,54,53,0.0185185
352,54,53,0.0185185
353,54,53,0.0185185
354,54,53,0.0185185
354,54,53,0.0185185
355,54,53,0.0185185
356,54,53,0.0185185
357,54,53,0.0185185
357,54,53,0.0185185
358,54,53,0.0185185
359,54,53,0.0185185
360,54,53,0.0185185
360,54,53,0.0185185
361,54,53,0.0185185
362,54,53,0.0185185
362,54,53,0.0185185
363,54,53,0.0185185
364,54,53,0.0185185
365,54,53,0.0185185
365,54,53,0.0185185
366,54,53,0.0185185
367,54,53,0.0185185
368,54,53,0.0185185
368,54,53,0.0185185
369,54,53,0.0185185
370,54,53,0.0185185
371,54,53,0.0185185
371,54,53,0.0185185
372,54,53,0.0185185
373,54,53,0.0185185
374,54,53,0.0185185
374,54,53,0.0185185
375,54,53,0.0185185
376,54,53,0.0185185
377,54,53,0.0185185
377,54,53,0.0185185
378,54,53,0.0185185
379,54,53,0.0185185
380,54,53,0.0185185
380,54,53,0.0185185
381,54,53,0.0185185
382,54,53,0.0185185
383,54,53,0.0185185
384,54,53,0.0185185
384,54,53,0.0185185
385,54,53,0.0185185
386,54,53,0.0185185
386,54,53,0.0185185
387,54,53,0.0185185
388,54,53,0.0185185
389,54,53,0.0185185
390,54,53,0.0185185
390,54,53,0.0185185
391,54,53,0.0185185
392,54,53,0.0185185
393,54,53,0.0185185
394,54,53,0.0185185
394,54,53,0.0185185
395,54,53,0.0185185
396,54,53,0.0185185
397,54,53,0.0185185
397,54,53,0.0185185
398,54,53,0.0185185
399,54,53,0.0185185
400,54,53,0.0185185
401,54,53,0.0185185
402,54,53,0.0185185
402,54,53,0.0185185
403,54,53,0.0185185
404,54,53,0.0185185
405,54,53,0.0185185
405,54,53,0.0185185
406,54,53,0.0185185
407,54,53,0.0185185
408,54,53,0.0185185
409,54,53,0.0185185
410,54,53,0.0185185
410,54,53,0.0185185
411,54,53,0.0185185
412,54,53,0.0185185
413,54,53,0.0185185
413,54,53,0.0185185
414,54,53,0.0185185
415,54,53,0.0185185
416,54,53,0.0185185
416,54,53,0.0185185
417,54,53,0.0185185
418,54,53,0.0185185
419,54,53,0.0185185
419,54,53,0.0185185
420,54,53,0.0185185
421,54,53,0.0185185
422,54,53,0.0185185
422,54,53,0.0185185
423,54,53,0.0185185
424,54,53,0.0185185
425,54,53,0.0185185
425,54,53,0.0185185
426,54,53,0.0185185
427,54,53,0.0185185
428,54,53,0.0185185
428,54,53,0.0185185
429,54,53,0.0185185
430,54,53,0.0185185
431,54,53,0.0185185
431,54,53,0.0185185
432,54,53,0.0185185
433,54,53,0.0185185
434,54,53,0.0185185
434,54,53,0.0185185
435,54,53,0.0185185
436,54,53,0.0185185
437,54,53,0.0185185
438,54,53,0.0185185
438,54,53,0.0185185
439,54,53,0.0185185
440,54,53,0.0185185
441,54,53,0.0185185
441,54,53,0.0185185
442,54,53,0.0185185
443,54,53,0.0185185
443,54,53,0.0185185
444,54,53,0.0185185
445,54,53,0.0185185
445,54,53,0.0185185
446,54,53,0.0185185
447,54,53,0.0185185
448,54,53,0.0185185
448,54,53,0.0185185
449,54,53,0.0185185
450,54,53,0.0185185
450,54,53,0.0185185
451,54,53,0.0185185
452,54,53,0.0185185
453,54,53,0.0185185
453,54,53,0.0185185
454,54,53,0.0185185
455,54,53,0.0185185
456,54,53,0.0185185
456,54,53,0.0185185
457,54,53,0.0185185
458,54,53,0.0185185
458,54,53,0.0185185
459,54,53,0.0185185
460,54,53,0.0185185
461,54,53,0.0185185
461,54,53,0.0185185
462,54,53,0.0185185
463,54,53,0.0185185
464,54,53,0.0185185
464,54,53,0.0185185
465,54,53,0.0185185
466,54,53,0.0185185
466,54,53,0.0185185
467,54,53,0.0185185
467,54,53,0.0185185
467,54,53,0.0185185
468,54,53,0.0185185
468,54,53,0.0185185
469,54,53,0.0185185
470,54,53,0.0185185
470,54,53,0.0185185
471,54,53,0.0185185
472,54,53,0.0185185
472,54,53,0.0185185
473,54,53,0.0185185
473,54,53,0.0185185
474,54,53,0.0185185
475,54,53,0.0185185
475,54,53,0.0185185
476,54,53,0.0185185
477,54,53,0.0185185
477,54,53,0.0185185
478,54,53,0.0185185
479,54,53,0.0185185
480,54,53,0.0185185
480,54,53,0.0185185
481,54,53,0.0185185
482,54,53,0.0185185
483,54,53,0.0185185
483,54,53,0.0185185
484,54,53,0.0185185
485,54,53,0.0185185
485,54,53,0.0185185
486,54,53,0.0185185
487,54,53,0.0185185
488,54,53,0.0185185
488,54,53,0.0185185
489,54,53,0.0185185
490,54,53,0.0185185
491,54,53,0.0185185
492,54,53,0.0185185
493,54,53,0.0185185
493,54,53,0.0185185
494,54,53,0.0185185
494,54,53,0.0185185
495,54,53,0.0185185
496,54,53,0.0185185
497,54,53,0.0185185
497,54,53,0.0185185
498,54,53,0.0185185
499,54,53,0.0185185
500,54,53,0.0185185
501,54,53,0.0185185
502,54,53,0.0185185
503,54,53,0.0185185
504,54,53,0.0185185
505,54,53,0.0185185
506,54,53,0.0185185
507,54,53,0.0185185
508,54,53,0.0185185
509,54,53,0.0185185
510,54,53,0.0185185
510,54,53,0.0185185
511,54,53,0.0185185
512,54,53,0.0185185
512,54,53,0.0185185
513,54,53,0.0185185
514,54,53,0.0185185
515,54,53,0.0185185
515,54,53,0.0185185
516,54,53,0.0185185
517,54,53,0.0185185
518,54,53,0.0185185
518,54,53,0.0185185
519,54,53,0.0185185
520,54,53,0.0185185
521,54,53,0.0185185
521,54,53,0.0185185
522,54,53,0.0185185
523,54,53,0.0185185
524,54,53,0.0185185
524,54,53,0.0185185
525,54,53,0.0185185
526,54,53,0.0185185
527,54,53,0.0185185
527,54,53,0.0185185
528,54,53,0.0185185
529,54,53,0.0185185
529,54,53,0.0185185
530,54,53,0.0185185
531,54,53,0.0185185
532,54,53,0.0185185
533,54,53,0.0185185
533,54,53,0.0185185
534,54,53,0.0185185
535,54,53,0.0185185
536,54,53,0.0185185
536,54,53,0.0185185
537,54,53,0.0185185
538,54,53,0.0185185
539,54,53,0.0185185
539,54,53,0.0185185
540,54,53,0.0185185
541,54,53,0.0185185
542,54,53,0.0185185
542,54,53,0.0185185
543,54,53,0.0185185
544,54,53,0.0185185
544,54,53,0.0185185
545,54,53,0.0185185
546,54,53,0.0185185
547,54,53,0.0185185
547,54,53,0.0185185
548,54,53,0.0185185
549,54,53,0.0185185
549,54,53,0.0185185
550,54,53,0.0185185
551,54,53,0.0185185
552,54,53,0.0185185
552,54,53,0.0185185
553,54,53,0.0185185
554,54,53,0.0185185
555,54,53,0.0185185
555,54,53,0.0185185
556,54,53,0.0185185
557,54,53,0.0185185
558,54,53,0.0185185
558,54,53,0.0185185
559,54,53,0.0185185
560,54,53,0.0185185
561,54,53,0.0185185
561,54,53,0.0185185
562,54,53,0.0185185
563,54,53,0.0185185
563,54,53,0.0185185
564,54,53,0.0185185
565,54,53,0.0185185
566,54,53,0.0185185
566,54,53,0.0185185
567,54,53,0.0185185
568,54,53,0.0185185
569,54,53,0.0185185
570,54,53,0.0185185
570,54,53,0.0185185
571,54,53,0.0185185
572,54,53,0.0185185
573,54,53,0.0185185
573,54,53,0.0185185
574,54,53,0.0185185
575,54,53,0.0185185
576,54,53,0.0185185
577,54,53,0.0185185
577,54,53,0.0185185
578,54,53,0.0185185
579,54,53,0.0185185
580,54,53,0.0185185
581,54,53,0.0185185
582,54,53,0.0185185
583,54,53,0.0185185
583,54,53,0.0185185
585,54,53,0.0185185
586,54,53,0.0185185
587,54,53,0.0185185
588,54,53,0.0185185
589,54,53,0.0185185
590,54,53,0.0185185
590,54,53,0.0185185
591,54,53,0.0185185
592,54,53,0.0185185
592,54,53,0.0185185
593,54,53,0.0185185
594,54,53,0.0185185
595,54,53,0.0185185
596,54,53,0.0185185
597,54,53,0.0185185
598,54,53,0.0185185
599,54,53,0.0185185
599,54,53,0.0185185
600,54,53,0.0185185
601,54,53,0.0185185
602,54,53,0.0185185
604,54,53,0.0185185
605,54,53,0.0185185
606,54,53,0.0185185
607,54,53,0.0185185
608,54,53,0.0185185
609,54,53,0.0185185
610,54,53,0.0185185
610,54,53,0.0185185
611,54,53,0.0185185
612,54,53,0.0185185
613,54,53,0.0185185
614,54,53,0.0185185
615,54,53,0.0185185
616,54,53,0.0185185
