arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,295029,12153.000000,0.041193,0.080378,0,0,120049,2962,55426,11
1,856440,36884.800000,0.043068,0.080380,2,0,354759,28142,121786,24
2,874,39.900000,0.045652,0.318026,1,0,382,16,86,19
3,178,7.050000,0.039607,0.588793,0,0,69,3,28,21
4,145,4.800000,0.033103,0.596066,0,0,46,4,41,7
5,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,0
