arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,514374,21681.600000,0.042151,0.063296,0,0,122393,188846,82653,8
1,1630,73.000000,0.044785,0.251168,0,0,706,48,160,13
2,1330,55.700000,0.041880,0.253939,0,0,525,64,205,24
3,350,13.900000,0.039714,0.417841,0,0,125,28,62,8
4,317,11.300000,0.035647,0.420319,0,0,105,16,81,2
5,356945,14589.000000,0.040872,0.063296,2,0,84494,122756,66010,0
