arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,44063,3857.600000,0.087547,0.118380,0,0,38552,48,2358,55
1,43852,4164.600000,0.094969,0.118379,0,0,41586,120,2135,116
2,45599,4248.750000,0.093176,0.118378,0,0,42453,69,2108,75
3,22390,989.500000,0.044194,0.118376,0,0,9713,364,3015,40
4,15073,617.150000,0.040944,0.118375,0,0,6065,213,2898,12
5,16357,675.800000,0.041316,0.118375,0,0,6656,204,2945,8
