arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,73680,5809.350000,0.078846,0.112512,0,0,57114,1959,3487,68
1,51303,4400.850000,0.085782,0.112513,0,0,43828,361,4572,126
2,21087,1651.900000,0.078337,0.112513,0,0,16451,136,4428,118
3,79125,3988.300000,0.050405,0.112513,2,0,35048,9634,0,41
4,26,0.000000,0.000000,1000000000.000000,0,0,0,0,0,3
5,26,0.000000,0.000000,1000000000.000000,0,0,0,0,0,7
