arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,253483,10160.250000,0.040083,0.078054,2,0,101261,647,54284,37
1,204712,8042.050000,0.039285,0.078054,7,0,80113,489,45844,74
2,410736,16978.250000,0.041336,0.078054,0,0,169290,985,80197,83
3,24327,1138.050000,0.046781,0.132095,1,0,11254,235,1573,54
4,11,0.000000,0.000000,1000000000.000000,0,0,0,0,0,26
5,12,0.000000,0.000000,1000000000.000000,0,0,0,0,0,3
