arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,117174,6285.450000,0.053642,0.104235,0,0,62567,575,10029,37
1,74803,3965.900000,0.053018,0.104235,0,0,39106,1106,8317,91
2,106396,5886.800000,0.055329,0.104236,4,0,58377,910,9684,88
3,51251,2211.200000,0.043145,0.104235,0,0,21883,458,7026,23
4,12,0.000000,0.000000,1000000000.000000,0,0,0,0,0,4
5,13,0.000000,0.000000,1000000000.000000,0,0,0,0,0,1
