arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,637208,26942.100000,0.042281,0.076836,0,0,244902,49038,99252,17
1,673043,28092.800000,0.041740,0.076836,0,0,264533,32790,111692,25
2,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,22
3,8,0.000000,0.000000,1000000000.000000,0,0,0,0,0,17
4,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,6
5,9,0.000000,0.000000,1000000000.000000,0,0,0,0,0,0
