arm_id,num_selected,total_reward,avg_reward,final_ucb_score,reward_better_solution,reward_f_improve,reward_new_config,reward_known_config,reward_fail_new_config,initial_priority_inheritance_sum
0,215153,8399.200000,0.039038,0.077362,1,0,83287,1392,48561,38
1,993816,41558.850000,0.041817,0.077362,0,0,406445,18287,164340,59
2,232439,9162.600000,0.039419,0.077362,2,0,88959,5298,49836,66
3,790,33.450000,0.042342,0.314818,2,0,315,3,146,44
4,162,8.450000,0.052160,0.710936,1,0,75,1,0,10
5,151,6.850000,0.045364,0.716989,0,0,68,1,2,6
