loop_cnt,region,inherit,reward,outcome,h,g,f
87806,0,2,0.1,2,3,59,62
87808,2,1,0.1,2,8,54,62
87809,3,6,0.1,2,14,48,62
87812,0,2,0.1,2,3,59,62
87813,2,2,0.1,2,8,54,62
87815,3,7,0.1,2,13,49,62
87816,0,1,0.1,2,3,59,62
87818,2,2,0.1,2,8,54,62
87819,3,7,0.1,2,13,48,61
87820,0,2,0.1,2,3,59,62
87824,1,6,0.1,2,27,35,62
87825,2,3,0.1,2,8,54,62
87826,3,4,0.1,2,14,48,62
87828,0,3,0.1,2,3,59,62
87829,1,3,0.1,2,23,39,62
87830,2,4,0.1,2,9,53,62
87833,3,4,0.1,2,12,50,62
87834,1,4,0.1,2,24,38,62
87836,0,1,0.1,2,3,59,62
87838,2,3,0.1,2,8,54,62
87839,3,3,0.1,2,13,49,62
87840,1,4,0.1,2,28,34,62
87844,0,2,0.1,2,3,59,62
87845,3,5,0.1,2,13,49,62
87848,2,2,0.1,2,8,54,62
87851,1,5,0.1,2,28,34,62
87852,0,2,0.1,2,3,59,62
87853,1,5,0.1,2,23,39,62
87854,3,3,0.1,2,12,50,62
87855,2,1,0.05,1,8,54,62
87856,0,1,0.1,2,3,59,62
87857,1,5,0.1,2,28,33,61
87859,3,5,0.1,2,14,48,62
87864,0,2,0.1,2,3,59,62
87867,1,4,0.1,2,24,38,62
87868,3,6,0.1,2,14,48,62
87869,0,3,0.1,2,3,59,62
87870,1,2,0.1,2,25,37,62
87871,3,4,0.1,2,12,50,62
87872,1,6,0,0,28,34,62
87874,0,2,0.1,2,3,59,62
87877,3,4,0.1,2,13,49,62
87881,0,1,0.1,2,3,59,62
87882,3,6,0.1,2,14,48,62
87883,2,3,0.1,2,8,54,62
87888,0,0,0.1,2,4,58,62
87889,3,4,0.1,2,13,49,62
87890,2,1,0.1,2,8,54,62
87891,0,1,0.1,2,3,59,62
87893,3,4,0.1,2,12,50,62
87894,2,2,0.1,2,8,54,62
87896,3,5,0.1,2,13,49,62
87898,0,1,0.1,2,3,59,62
87899,2,2,0.1,2,8,54,62
87900,3,5,0.1,2,14,48,62
